"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"247","Chris Boswell","PIT","K11","9","150","263","224.6","27.4","241.0","-6.0"
"248","Los Angeles Chargers","","DST16","9","145","265","219.3","30.5","223.0","-25.0"
"249","Vance McDonald","SF","TE31","11","143","295","230.8","37.7","337.0","+88.0"
"250","Tyler Higbee","LAR","TE32","8","149","255","220.3","30.0","242.0","-8.0"
"251","Will Lutz","NO","K12","5","150","264","217.8","25.4","188.0","-63.0"
"252","Tarik Cohen","CHI","RB76","9","128","303","228.1","46.3","266.0","+14.0"
"253","Marquise Goodwin","SF","WR89","11","132","280","230.5","38.1","300.0","+47.0"
"254","Jermaine Gresham","ARI","TE33","8","146","270","230.8","35.3","301.0","+47.0"
"255","Sebastian Janikowski","OAK","K13","10","148","270","217.6","21.3","187.0","-68.0"
"256","Jared Goff","LAR","QB29","8","142","260","219.2","23.8","288.0","+32.0"
"257","Chris Ivory","JAC","RB77","8","162","282","236.1","33.4","234.0","-23.0"
"258","Terrance Williams","DAL","WR90","6","142","280","229.0","34.3","317.0","+59.0"
"259","Atlanta Falcons","","DST17","5","130","260","224.5","32.1","195.0","-64.0"
"260","Graham Gano","CAR","K14","11","151","271","226.0","24.0","253.0","-7.0"
"261","Tampa Bay Buccaneers","","DST18","11","160","260","223.4","27.2","269.0","+8.0"
"262","Buffalo Bills","","DST19","6","131","266","233.1","30.5","240.0","-22.0"
"263","Laquon Treadwell","MIN","WR91","9","159","289","233.4","33.5","265.0","+2.0"
"264","Oakland Raiders","","DST20","10","145","269","218.8","23.4","289.0","+25.0"
"265","Jeremy McNichols","TB","RB78","11","144","282","229.5","34.8","237.0","-28.0"
"266","Travis Benjamin","LAC","WR92","9","165","282","238.0","31.0","297.0","+31.0"
"267","Brandon McManus","DEN","K15","5","149","278","221.8","22.4","238.0","-29.0"
"268","Ryan Mathews","FA","RB79","","159","278","231.5","35.4","285.0","+17.0"
"269","Orleans Darkwa","NYG","RB80","8","139","285","239.7","45.7","331.0","+62.0"
"270","DeShone Kizer","CLE","QB30","9","143","261","223.3","26.8","306.0","+36.0"
"271","Aaron Jones","GB","RB81","8","151","394","251.2","54.6","259.0","-12.0"
"272","Tennessee Titans","","DST21","8","166","266","222.0","31.7","235.0","-37.0"
"273","Michael Floyd","MIN","WR93","9","146","282","236.6","36.5","338.0","+65.0"
"274","JuJu Smith-Schuster","PIT","WR94","9","157","346","242.9","42.0","264.0","-10.0"
"275","Dion Sims","CHI","TE34","9","169","293","228.6","42.8","373.0","+98.0"
"276","Tom Savage","HOU","QB31","7","146","261","237.8","31.6","307.0","+31.0"
"277","Erik Swoope","IND","TE35","11","170","296","242.1","31.4","286.0","+9.0"
"278","Green Bay Packers","","DST22","8","171","283","220.4","20.8","282.0","+4.0"
"279","Zach Zenner","DET","RB82","7","170","283","239.5","30.2","219.0","-60.0"
"280","Alfred Morris","DAL","RB83","6","167","283","231.6","33.8","277.0","-3.0"
"281","Seth Roberts","OAK","WR95","10","166","274","229.8","36.2","341.0","+60.0"
"282","Mike Glennon","CHI","QB32","9","145","261","230.1","22.9","311.0","+29.0"
"283","Javorius Allen","BAL","RB84","10","129","294","255.5","38.0","339.0","+56.0"
"284","Gerald Everett","LAR","TE36","8","178","272","224.0","29.9","327.0","+43.0"
"285","Mitch Trubisky","CHI","QB33","9","156","263","227.3","36.4","260.0","-25.0"
"286","Maxx Williams","BAL","TE37","10","162","331","234.3","47.4","381.0","+95.0"
"287","Miami Dolphins","","DST23","11","165","273","238.9","23.4","304.0","+17.0"
"288","Elijah Hood","OAK","RB85","10","130","280","249.4","47.0","",""
"289","Chandler Catanzaro","NYJ","K16","11","185","274","219.3","29.3","293.0","+4.0"
"290","Mychal Rivera","JAC","TE38","8","132","274","223.8","51.4","",""
"291","Indianapolis Colts","","DST24","11","134","264","213.7","57.0","318.0","+27.0"
"292","Adam Humphries","TB","WR96","11","134","273","224.5","46.3","344.0","+52.0"
"293","Will Tye","NYG","TE39","8","136","275","238.7","41.0","",""
"294","Wayne Gallman","NYG","RB86","8","172","311","252.9","34.0","330.0","+36.0"
"295","Victor Cruz","CHI","WR97","9","142","277","242.1","43.0","336.0","+41.0"
"296","Vernon Davis","WAS","TE40","5","180","293","242.8","25.7","325.0","+29.0"
"297","Taywan Taylor","TEN","WR98","8","161","393","254.3","46.2","",""
"298","Blair Walsh","SEA","K17","6","179","267","238.8","25.4","232.0","-66.0"
"299","Caleb Sturgis","PHI","K18","10","170","266","229.5","23.5","244.0","-55.0"
"300","Markus Wheaton","CHI","WR99","9","174","276","230.7","36.2","368.0","+68.0"
"301","Jeremy Langford","CHI","RB87","9","167","290","254.4","33.3","273.0","-28.0"
"302","Nick Novak","HOU","K19","7","176","265","225.4","27.9","314.0","+12.0"
"303","Charone Peake","NYJ","WR100","11","181","283","235.2","30.1","378.0","+75.0"
"304","Jermaine Kearse","SEA","WR101","6","161","281","237.5","35.3","305.0","+1.0"
"305","Jaelen Strong","HOU","WR102","7","177","324","241.3","41.5","375.0","+70.0"
"306","Gary Barnidge","FA","TE41","","163","257","219.7","32.6","",""
"307","A.J. Derby","DEN","TE42","5","168","271","233.8","25.5","",""
"308","Kasen Williams","SEA","WR103","6","164","406","274.3","99.9","299.0","-9.0"
"309","Jimmy Garoppolo","NE","QB34","9","165","256","221.3","35.8","303.0","-6.0"
"310","Josh McCown","NYJ","QB35","11","183","275","240.9","20.6","262.0","-48.0"
"311","Chicago Bears","","DST25","9","176","260","219.8","29.9","315.0","+4.0"
"312","Kenyan Drake","MIA","RB88","11","172","279","242.5","26.6","215.0","-97.0"
"313","Nick Folk","TB","K20","11","173","262","230.8","34.4","",""
"314","New York Jets","","DST26","11","191","279","219.8","28.3","283.0","-31.0"
"315","Chad Williams","ARI","WR104","8","183","277","233.6","33.5","",""
"316","Josh Lambo","LAC","K21","9","185","267","237.9","18.8","308.0","-8.0"
"317","Brandon Coleman","NO","WR105","5","177","281","246.3","30.2","254.0","-63.0"
"318","Washington Redskins","","DST27","5","179","258","225.3","27.1","312.0","-6.0"
"319","Jonnu Smith","TEN","TE43","8","180","260","220.0","40.0","",""
"320","Phil Dawson","ARI","K22","8","180","263","233.3","23.7","302.0","-18.0"
"321","Chris Johnson","ARI","RB89","8","181","281","238.3","42.1","272.0","-49.0"
