"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"187","Charles Sims","TB","RB62","11","109","267","186.9","37.8","210.0","+23.0"
"188","Dan Bailey","DAL","K3","6","137","251","180.4","17.8","161.0","-27.0"
"189","Matt Bryant","ATL","K4","5","135","249","181.6","21.6","157.0","-32.0"
"190","Carolina Panthers","","DST8","11","136","229","182.5","19.7","172.0","-18.0"
"191","Cooper Kupp","LAR","WR70","8","83","277","186.1","41.1","179.0","-12.0"
"192","Charles Clay","BUF","TE25","6","123","265","188.1","35.6","277.0","+85.0"
"193","Jonathan Williams","BUF","RB63","6","113","280","189.7","37.5","167.0","-26.0"
"194","Mohamed Sanu","ATL","WR71","5","134","268","186.5","32.4","185.0","-9.0"
"195","Jalen Richard","OAK","RB64","10","105","279","192.4","36.5","206.0","+11.0"
"196","T.J. Yeldon","JAC","RB65","8","131","278","193.4","37.1","211.0","+15.0"
"197","D'Onta Foreman","HOU","RB66","7","139","268","191.8","32.2","194.0","-3.0"
"198","New York Giants","","DST9","8","139","255","183.1","22.0","170.0","-28.0"
"199","Jay Cutler","MIA","QB24","11","137","309","184.1","33.1","216.0","+17.0"
"200","Nelson Agholor","PHI","WR72","10","104","279","189.4","41.8","248.0","+48.0"
"201","Mason Crosby","GB","K5","8","141","256","186.9","19.3","176.0","-25.0"
"202","Devin Funchess","CAR","WR73","11","124","263","195.4","36.8","218.0","+16.0"
"203","Alex Smith","KC","QB25","10","136","307","189.4","26.7","236.0","+33.0"
"204","Chris Conley","KC","WR74","10","113","279","195.8","33.2","234.0","+30.0"
"205","Jesse James","PIT","TE26","9","140","267","198.1","32.3","221.0","+16.0"
"206","Los Angeles Rams","","DST10","8","142","241","189.6","20.0","182.0","-24.0"
"207","Austin Seferian-Jenkins","NYJ","TE27","11","142","303","200.9","42.3","251.0","+44.0"
"208","Robert Turbin","IND","RB67","11","120","291","199.4","37.7","222.0","+14.0"
"209","Tavon Austin","LAR","WR75","8","111","281","199.4","35.8","228.0","+19.0"
"210","Adam Vinatieri","IND","K6","11","138","255","194.7","23.4","169.0","-41.0"
"211","Zach Miller","CHI","TE28","9","117","267","201.5","38.5","296.0","+85.0"
"212","Jacksonville Jaguars","","DST11","8","142","238","193.8","23.3","187.0","-25.0"
"213","Torrey Smith","PHI","WR76","10","113","282","213.1","42.0","245.0","+32.0"
"214","Will Fuller","HOU","WR77","7","127","258","198.1","36.1","252.0","+38.0"
"215","Mike Williams","LAC","WR78","9","110","274","198.8","42.8","247.0","+32.0"
"216","Tim Hightower","SF","RB68","11","116","284","213.5","45.1","272.0","+56.0"
"217","Devontae Booker","DEN","RB69","5","105","277","211.0","38.1","237.0","+20.0"
"218","Brian Hoyer","SF","QB26","11","140","313","201.5","28.4","249.0","+31.0"
